Text Editor,Why did you choose that editor ?
Sublime Text,I just always use it
Sublime Text,Lightweight 
Sublime Text,It looks nice and is easy to use
Sublime Text,Features
Sublime Text,It’s speed and visual appeal primarily 
Sublime Text,T
Sublime Text,Easy
Sublime Text,Two words: Multi cursors
Sublime Text,Many useful features. Customisable.
Sublime Text,Speed.
Sublime Text,No better alternative
Sublime Text,Love the band
Sublime Text,K
Sublime Text,it good
Total,145/822
